id,FailureModes.Description,Platforms.Name as Platfrom,Components.Name as Component,SubComponents.Name as SubComponent,FailureModes.Functionality
479,"MFC flow does not match the set point",Nexus,Devices,Carrier handler,"Pre-processing purge/Maintainence/Post processing purge/Processing purge"
480,"Pre-processing/Post processing purge duration does not match the user configured time",Nexus,Devices,Carrier handler,"Pre-processing purge/Post processing purge"
481,"Pre-processing purge is triggered for ready to load lots even when disabled",Nexus,Devices,Carrier handler,"Pre-processing purge"
482,"Purge is not triggered Incorrect sequence of events reported",Nexus,Devices,Carrier handler,"Pre-processing purge/Post processing purge"
483,"Carrier does not load and map after pre-processing purge is complete",Nexus,Devices,Carrier handler,"Carrier load and map after pre-processing purge"
484,"Maintainence purge is not triggered after pre-processing purge even when the lot is not ready to  be mapped",Nexus,Devices,Carrier handler,"Maintenance purge"
485,"Processing purge is not triggered as soon as the pod loader door opens",Nexus,Devices,Carrier handler,"Processing purge"
486,"Broken wafers detected when N2 purge is enabled",Nexus,Devices,Carrier handler,"Mapping"
487,"Carrier is detected when nozzle is UP.. OR operator places FOUP when nozzle is moved up",Nexus,Devices,Carrier handler,"Carrier presence detection"
488,"MFC flow does not match the set point",Nexus,Devices,Carrier handler,"PostMaintenance purge"
489,"Pre-processing purge duration does not match the user configured time",Nexus,Devices,Carrier handler,"Pre-processing purge"
490,"PreProcessing purge is not triggered for cascading lots",Nexus,Devices,Carrier handler,"PreProcessing purge"
491,"Purge is not triggered",Nexus,Devices,Carrier handler,"Maintenance Purge/PostMaintenance Purge"
492,"Carrier Handler errored out",Nexus,Devices,Carrier handler,"PreProcessing/Maintenance/PostMaintenance purge"
493,"Stop PostMaintenance Purge failed to nozzle down",Nexus,Devices,Carrier handler,"Carrier Unload"
494,"Configuration option not availableConfiguration options are confusing",Nexus,Devices,Carrier handler,N2 purge
495,"Delayed pod option not available",Nexus,Devices,Carrier handler,"Delayed pod configuration"
496,"Gas flow exceeds fault limit",Nexus,Devices,Carrier handler,Gas flow during N2 purge
497,"The command is accepted but nothing happens",Nexus,Devices,Nozzle,"Remote command for Nozzle Purge execution"
498,"The command is accepted but nothing happens",Nexus,Devices,Nozzle,"Remote command enable Nozzle purge during E84 handoff"
499,"The nozzle is up when a FOUP is placed",Nexus,Devices,Nozzle,"Nozzle movement"
500,"The FOUP is unloaded/undocked/unclamped when the nozzle is up",Nexus,Devices,Nozzle,"Nozzle movement"
501,"Capability not configured.",Nexus,Module,Module capability,N2 Flow on module error
502,"Error action script not configured.",Nexus,Module,Module capability,"Establish N2 flow on module error"
503,"Recovery action script not configured.",Nexus,Module,Module capability,N2 Flow after error recovery
504,"State notifications not received.",Nexus,Module,Module capability,"Establish N2 flow on error"
505,"States not initialized correctly.",Nexus,Module,Module capability,"Establish N2 flow on error"
506,"Adapter pressure setpoint not within allowable limits.",Nexus,Module,Module capability,"Establish N2 flow on error"
507,"Invalid N2 setpoint.",Nexus,Module,Module capability,"Establish N2 flow on error"
508,"Device failure.",Nexus,Module,Module capability,"Establish N2 flow on error"
509,"Interlocks failure.",Nexus,Module,Module capability,"Establish N2 flow on error"
510,"Race condition: N2 Flow is not stopped",Nexus,Module,Module capability,N2 Flow after error recovery
511,"Race condition: N2 does not flow on module error",Nexus,Module,Module capability,"Establish N2 flow on error"
512,"Dummy Deposition doesn’t run even though it is configured",Nexus,Module,Module capability,Dummy Deposition during module get ready
513,"Current Dummy Deposition count not persisted",Nexus,Module,Module capability,Dummy Deposition Count configuration
514,"Dummy Deposition program executed in get ready when not expected",Nexus,Module,Module capability,"Dummy Deposition during module get ready"
515,"Powercycle happens after Dummy Deposition run and GetReady list execution follows.",Nexus,Module,Module capability,"Dummy Deposition during module get ready"
516,Wrong program selected which leads to Error. ,Nexus,Module,Module capability,"Dummy Deposition during module get ready"
517,"Dummy deposition fails due to non existent override set being used against the Dummy Deposition program.",Nexus,Module,Module capability,"Dummy Deposition during module get ready"
518,Inconsitency in duration of Aligner program with Enhanced Seed Detect as Enabled.,C2C3,Module mainL,Device,Enhanced Seed Detection for Sabre
519,Aligner program error out when Enhanced Seed Detect Enabled,C2C3,Module mainL,Device,Enhanced Seed Detection for Sabre
520,"Short get ready list would be executed only if the feature is defined and enabled; FPL has been executed, check skip get ready after FPL is enabled; and pipelining determines that the get ready can be skipped. The above conditions are satisfied, but the short get-ready list is null.",Nexus,Module,Module capability,Short get ready list execution functionality during assembling and getting the module ready
521,Process program is not updated. It doesn't have the parameter set: 'short_get_ready_pulsed_precoats',Nexus,Program Manager,Programs,Getting the data for number of deposition program to be run during short get ready.
522,"FPL timer is set to a non-zero value. When the first job completes, the FPL is not yet executed. When a second compatible job is assigned short get ready will not execute.",Nexus,Module,Module capability,FPL timer is set and is a non-zero value
523,The short get ready list execution feature is not defined for the process type under consideration.,Nexus,Module,Module configuration,Using the short get ready list execution feature
524,"If the process parameter change is present only with respect to dummy_dep_count_during_short_get_ready value, then if the get ready thickness strategy is selected as ON_NON_THICKNESS_CHANGE or ON_NON_PARAMETER_CHANGE, then a full get ready will be executed.",Nexus,Module,Module capability,Short Get Ready List execution conditionals
525,"User is unable to launch the SIM utility",Nexus,UI Utilities,SIM,"Launch SIM Utility"
526,"Fails to create tool image/backup",Nexus,UI Utilities,SIM,"Create Image/Backup"
527,"Failed to connect to FTP server",Nexus,UI Utilities,SIM,"FTP Image/Backup"
528,"Failed to upload to FTP",Nexus,UI Utilities,SIM,"FTP Image/Backup"
529,"Fails to restore tool image/backup",Nexus,UI Utilities,SIM,"Restore Image/Backup"
530,"The N2 purge options cannot be modified or the edited values are not being considered",Nexus,UI Screens,UI Screens,"N2 Purge settings in the front-end screen"
531,"Nozzle status on the UI does not reflect the hardware status",Nexus,UI Screens,UI Screens,"Nozzle status on the UI"
532,"The Delayed pod options are not available even when configured.",Nexus,UI Screens,UI Screens,"Delayed pod options in the scheduler screen"
533,"The Delayed pod options cannot be modified or the edited values are not being considered",Nexus,UI Screens,UI Screens,"Delayed pod options in the scheduler screen"
534,"Sensor to indicate device status is not displayed correctly",Nexus,UI Screens,UI Screens,"Device status"
535,Pulsed precoat counter is not persisted,Nexus,Module,Module capability,Pulsed precoat
536,"Pulsed Precoat Counter is checked against a value that is different from the number of loops configured.",Nexus,Module,Module capability,Pulsed precoat
537,"Loss of network connection",Nexus,Devices,Pump,"Pump/Abatement Unit device used for Green Mode (Pump Idle Mode)"
538,"Device failure",Nexus,Devices,Pump,Pump/Abatement Unit device used for Green Mode (Pump Idle Mode)
539,"EIOC is not installed in the CE settings",Nexus,Devices,Pump,Pump/Abatement Unit device used for Green Mode (Pump Idle Mode)
540,"Pump Idle mode and Abatement Unit CE settings are not enabled and installed, respectively",Nexus,Devices,Pump,Pump/Abatement Unit device used for Green Mode (Pump Idle Mode)
541,Incorrect or missing interlocks,Nexus,Devices,Pump,Pump/Abatement Unit device used for Green Mode (Pump Idle Mode)
542,"Permission check fails. Correct filters are not applied.",Nexus,Access Manager,Access Manager,"Load screen launch action"
543,"User will be able to load the recipe that has program for which current user will not have execute permission.",Nexus,Access Manager,Access Manager,"Load action program validation"
544,"Permission check fails, permission set for recorded elements does not exist. Incorrect filters are applied",Nexus,Access Manager,Access Manager,"Wafer history screen, Data retrieval launch action"
545,"Existing list shows the access denied program references",Nexus,Access Manager,Access Manager,List view in the list editor
546,"Recipe(s) are not copied, folder(s) are not copied",Nexus,Access Manager,Access Manager,Access checks after software upgrade
547,"Programs are not migrated. Programs are not migrated to default folder. Duplicate copies of programs are created. Programs migrated are not seen in upgraded build",Nexus,Access Manager,Access Manager,"Program migration from build not having access control to build having access control"
548,"Access permission meta data is not retained. Folder information of program is lost. New program after derivation gets lost",Nexus,Access Manager,Access Manager,"Program derivation"
549,"Folder structure is not retained on powercycle or upgrade",Nexus,Access Manager,Access Manager,"Folder structure"
550,"Access policy of folder(s)\Recipe(s)\Program(s) are not retained after powercycle",Nexus,Access Manager,Access Manager,"Permission evaluation"
551,"None of the folders are  created, folder files are corrupted.",Nexus,Access Manager,Access Manager,"Simultaneous folder creation on more than one UI"
552,"None of the permission are assigned. File gets corrupted",Nexus,Access Manager,Access Manager,"Simultaneous permission assignment to the same element via multiple UIs"
553,"Permissions are lost. Wrong permissions are retained. File get corrupted",Nexus,Access Manager,Access Manager,"Permission change - save\save as\Move action"
554,"FA cannot query the Settings data and will not receive notifications for start and end of mechanical diagnostics",Nexus,Module,Mechanical diagnostics,"DVIDs and CEIDs are missing or not found for mechanical diagnostics"
555,"Incorrect S3F25 message structure",Nexus,Factory automation,FA server,"Port Action Request"
556,"Invalid/Unrecognized Port Action Request",Nexus,Factory automation,FA server,"Port Action Request"
557,"Port Action Request message contains leading and/or trailing space(s)",Nexus,Factory automation,FA server,"Port Action Request"
558,"Port Action Request message contains a mix of lower and upper case letters",Nexus,Factory automation,FA server,"Port Action Request"
559,"Load port not in the appropriate state to proceed further",Nexus,Devices,Loadport,"Port Action Request from FA to Inservice"
560,"Handoff signal still On ",Nexus,Devices,Loadport,"Port Action Request transfer to/from the load port which is in Out Of Service state"
561,"Port Action Request for Invalid/non-configured Load Port or Load Port is configured but is shutdown ",Nexus,Factory automation,FA server,"Port Action Request"
562,"The command is rejected",Nexus,Factory automation,FA server,"Remote command for Nozzle Purge execution"
563,"The command is accepted but the nozzle purge is not executed",Nexus,Factory automation,FA server,"Remote command for Nozzle Purge execution"
564,"The S3F17 message with ""purge execute"" option is rejected",Nexus,Factory automation,FA server,"S3F17 (PWC) message with ""Purge execute"" for N2 purge"
565,"The S3F17 message without ""Purge Execute"" option is rejected",Nexus,Factory automation,FA server,"S3F17 (PWC) message without ""Purge Execute"""
566,"Regular Recipe download with Particle Partitioning Program is sent",Nexus,Factory automation,Recipe Management system,Recipe download
567,"The scheduling of flow verification cannot be done via FA",Nexus,Module,Flow verification,"SVIDs and CEIDs are missing or not found"
568,"Scheduler cannot get control of the frontend module",Nexus,Scheduler,Wafer Sequencer,"Get wafer out of cassette"
569,"Get or placepick failure",Nexus,Scheduler,Wafer Sequencer,"Get wafer out of cassette"
570,"Scheduler cannot get control of loadlock, transfer chamber or process module",Nexus,Scheduler,Wafer Sequencer,"Move wafer(s) into process module"
571,"Transfer chamber attached to module is unavailable (offline, error)",Nexus,Scheduler,Wafer Sequencer,"Move wafer(s) into process module"
572,"Process module is unavailable (offline, error)",Nexus,Scheduler,Wafer Sequencer,"Move wafer(s) into process module"
573,"Process Program failure",Nexus,Scheduler,Operation Execution,"Run process"
574,"Indexing failure",Nexus,Scheduler,Operation Execution,"Run process"
575,"Finished processing failure",Nexus,Scheduler,Operation Execution,"Proces module finished processing execution"
576,Modules currently being used by the job do not receive the simultaneous clean request,Nexus,Scheduler,Service request,Simulataneous clean
577,"Fail to get module exceed wafer simultaneous clean notification",Nexus,Scheduler,Service request,Wafer clean limit evaluation
578,"Log file compressing fails",Nexus,Event Log,Event Log,"Rolling log file"
579,"Daylight saving time is turned ON: forward",Nexus,Event Log,Event Log,"Rolling log file"
580,Daylight saving time turned OFF: backward,Nexus,Event Log,Event Log,"Rolling log file"
581,"Log file size validation not in place",Nexus,Event Log,Event Log,"Logging of data into file"
582,"Log timestamp is not correct",Nexus,Event Log,Event Log,"Log data"
583,Time is manually changed on the system clock,Nexus,Event Log,Event Log,Log Data
584,Some log output can be seen at system bootup or module up even though the Event Log component is not licensed. But then no log data reported when event occurs.,Nexus,Event Log,Event Log,"License management"
585,License expires,Nexus,Event Log,Event Log,"License management"
586,None of the UI elements gets diplayed.,Nexus,UI Screens,UI Screens,When Module is acquired all the enhanced clean settings should be enabled if the enhanced clean is enabled or only enhanced clean check box and apply button should be available.
587,List block is missing or modified or deleted.,Nexus,Program Manager,List,"List Block should contains an entry condition and two list entities. First entity should contain enhanced clean program, second entity should contain admin tasks do not run offline to clear counters."
588,It does not contain few clean programs or it contains few programs which are not clean program.,Nexus,UI Screens,UI Screens,Clean porgram combo box must contain only clean programs
589,Modification of list fails.,Nexus,Module Program Executor,List Execution,List has to be modified to change the enhanced clean program according to the selection in the UI.
590,Spindle movement/LiftPins Movement did not stop after clean step,C2C3,Program Executor,Program Execution,Spindle Movement/LiftPins Movements during program execution
591,Spindle movement/LiftPins Movement did not stop when clean  program errros/abort,C2C3,Program Executor,Program Execution,Spindle Movement/LiftPins Movements
592,"Pump to Base could not achieve with flow during Chamber Pump to Base, Full Flush and Chamber Clean",C2C3,Program Executor,Program Execution,chamber Pump to Base
593,Ar Purge Program did not execute at the end of shutdown,C2C3,Program Executor,Program Execution,Ar Purge Execution
594,Ar Purge Program executed at the end of shutdown when user has not enabed it,C2C3,Program Executor,Program Execution,Ar Purge Execution
595,Chamber Pump to Base did not execute with defalut parameter set,C2C3,Program Executor,Program Execution,Chamber Pump to Base execution
596,Chamber Pump to Base failed to execute and hence get ready list execution fails ,C2C3,Program Executor,List Execution,Get Ready list execution
597,Chamber Pump to Base failed to execute and hence shutdown list execution fails ,C2C3,Program Executor,List Execution,Module Shutdown list execution
598,Chamber Pump to Base failed to execute and hence leakrate execution fails ,C2C3,Program Executor,List Execution,Leak Rate execution
599,unable to set/reset check box for Enable Ar Purge Execution during Shutdown from host,C2C3,FA,VID updates and management,ECID set/reset from Host
600,"new parameters added to Ar Purge, Clean and flush programs cant be tuned",C2C3,FA,fa server,Parameter Tuning(host/DOE)
601,"new parameters added to Ar Purge, Clean and flush programs are not able to upload and download by host ",C2C3,FA,fa server,Parameter Upload
602,user is not able to enable Ar Purge on UI,C2C3,UI,VG,UI set/reset values
603,backward compatibility fail-Ar Purge steps did not execute 10 times as it was before,C2C3,Program Executor,Program Execution,Ar Purge Execution
604,LiftPins Up/Down was not achieved during Clean/AR Purge Program,C2C3,Devices,Liftpin,LiftPins Movement(up/down) as part of program execution
605,Spindle index was not achieved during Program execution,C2C3,Devices,Spindle,spindle index
606,Interlocks were not checked before liftpin movements(up/down),C2C3,Devices,Liftpin,Device Interlocks
607,Interlocks were not checked before spindle indexes,C2C3,Devices,Spindle,device interlock
608,New CE Option is not avaible,C2C3,UI,Configuration Editor,Configuration Selection
609,Incorrect details displayed,C2C3,Devices,Flow controllers (MFC/LFC),MFC Device details
610,mfcA was flushed as part of manifoldB when installed for on manifoldA,C2C3,Program Executor,Program Execution,Flush execution
611,mfcA did not flush as part of manifoldA when installed manifoldA,C2C3,Program Executor,Program Execution,Flush program execution
612,Interlocks are by passed-Valves in the process Module are in incorrect state ,C2C3,Devices,Flow controllers (MFC/LFC),Interlocks Check
613,Incompatible Gas flown in the Process chamber,C2C3,Devices,Flow controllers (MFC/LFC),Safety interlocks
614,compatible gases didnot flown in the Process chamber together,C2C3,Devices,Flow controllers (MFC/LFC),Safety interlocks
615,"Failed to load the new VG files ",C2C3,UI,VG,Loading new VG files
616,"1.Failed to navigate to the sub screen when the navigation button is clicked from main screen.2.Navigated to the wrong sub screen from main screen when the navigation button is clicked.",C2C3,UI,VMap,Navigate to the sub screen from main screen.
617,Failed to initialize the  Lamp X Power Supply System.,C2C3,Devices,Process module,Initialization of the Lamp X Power Supply System 
618,Device attributes are not listed in CPM window,C2C3,Module mainL,CPM,Device Monitorning
619,"1.Warning/Fault alarm is not raised when the parameter value is out of warning /fault range.2.Warning /Fault alarm does not report even though the parameter value is out of range after clearing the alarm. ",C2C3,Alarm,Alarm,Monitoring the Lamp X Power Supply System parameter limits.
620,Software will fail on the tool which has previous version of firmware,C2C3,Devices,Process module,Software Fails Backward Compatibility
621,"1.Unable to recognise the Lamp X serial message 2.Failed to receive the complete response.",C2C3,Module mainL,Device,Monitoring the Serial Response from the Lamp X firmware
622,Failed to retain the values set for warning and fault limit after power cycle of the tool,C2C3,Program,Upgrade,Persistency of the warning and fault limit for the power supply system parameters
623,"Failed to poll the data from the serial data from Lamp X firmware.",C2C3,Devices,Process module,Polling the data from the serial ports from firmware on  intialization of Lamp X
624,"1.Unable to query the SVID/DVID  value2.Fetching wrong value of the SVID/DVID.",C2C3,FA,VID updates and management,Querying the  SVID's and DVID's from the host.
625,"Unable to find the right click methods.",C2C3,Module mainL,Device,Right Click methods
626,"1.Failed to find  the new parameter in the wafer history.2.Failed to get the correct response from the wafer history parameters(wrong KOS).",C2C3,Wafer History,Wafer History,Monitoring the Parameters added in the wafer history
627,"1.Unable to open the help screen when clicking the help button.2.Unable to get the correct help information or help content.",C2C3,UI,Button Action,Context Help Button
628,New Parameter added to Lamp X set device limits program cannot be tuned ,C2C3,FA,fa server,Parameter Tuning(host)
629,New parameter added to the Lamp X  set device limit program is not able to upload/download by host,C2C3,FA,Recipe Management,Parameter Upload/Downlaod
630,SVID values are not returning correct values when queried from host.,C2C3,FA,VID updates and management,Query SVIDs from host
631,"1.Status of the lamps is not reflected from firmware even  after the debounce timer expires(if deboucer is enabled).2.Status of the lamps is not reflected from the firmware(debouncer is disabled)",C2C3,Module mainL,Device,Monitoring the Lamp X lamps status
632,"1.Failed to update the Power Supply parameter values received from the firmware on UI.2.Failed to receive the status response from the firmware.",C2C3,Module mainL,Device,Update the Power Supply parameter  values for Lamp X on UI.
633,User unable to input text filelds or select drop down fileds.,C2C3,UI,VG,VG (UI inputs)
634,Able to edit check box and text box during wafer run.,C2C3,UI,VG,VG (UI Fields enable property in Monitor mode.)
635,Module doesnot run EBR Conditioning after 'n' no. of wafers (input by user) are processed in the module.,C2C3,Scheduler,Module Conditioning,EBR Conditioning
636,EBR Conditioning service request is granted when wafers are in module.,C2C3,Scheduler,Service request,EBR Conditioning Service request.
637,Flush logic did not execute correct flush prior to next flow when an incompatible gas has flown prior,C2C3,Program Executor,Program Execution,Flush Logic
638,Incompatible Gas flown in the Process chamber when mfcA is C2H2 as Manifold A/ManifoldB/manifold A+ManifoldB has not been flushed before flowing incompatible gases.,C2C3,Program Executor,Program Execution,Flush Logic
639,Incorrect Device description on UI,C2C3,UI,VG,Device description on UI
640,Red Borders seen on the UI,C2C3,UI,VG,UI Display
641,mfcA is not shown under Manifold A,C2C3,UI,VG,UI Display
642,Incomplete pipe connections when mfcA is configured under manifoldA ,C2C3,UI,VG,UI Display
643,"Unable to find the LampX device under serial communications monitor UI.",C2C3,Devices,Process module,Serial monitoring of the Lamp X response
644,"1. PM Get Ready list is executed but required slot value does not get updated.2. PM Get Ready list is executed but required slot value does not get forwarded.",C2C3,Program Executor,List Execution,Process module Get Ready list is executed and required slot value is forwarded to FE/LL.
645,Module did not  error out.,C2C3,Program Executor,Shutdown,Monitoring Lamp X power supply system attributes.
646,"RLL Shutdown list does NOT execute EBR conditioning RLL Shutdown list does NOT execute LL Flush or clean pump/Vent cycle.",C2C3,Program Executor,List Execution,RLL Shutdown List Execution.
647,RLL Shutdown list executes EBR conditioning even when feature is disabled .,C2C3,Program Executor,List Execution,RLL Shutdown List Execution.
648,RLL Shutdown list does not execute pump inbetween EBR conditioning cycles if no. of cycles is more than 1 .,C2C3,Program Executor,List Execution,RLL Shutdown List Execution.
649,"Shutdown list/EBR conditioning List is getting executed infinitely.The sequence of execution of programs as part shutdown list is changed.",C2C3,Program Executor,List Execution,List Execution.
650,EBR Conditioning List doesnot execute pump/vent cycles for 3 times.,C2C3,Program Executor,List Execution,EBR Conditioning List Execution
651,Sched doesnot create Operation for EBR Conditioning.,C2C3,Scheduler,Operation Management,Operation Creation.
652,EBR Conditioning operation is created more than one time.,C2C3,Scheduler,Operation Management,Operation Creation
653,EBR Conditioning Service request is granted when module is in error.,C2C3,Scheduler,Service request,EBR Conditioning Service Request.
654,Value is Non persistent on Upgrade,C2C3,Migrate,Migrate,Migration of UI Fields values
655,"Failed to load the new VG files even when CE settings is configured correctly.",C2C3,UI,VG,Loading the new vg files .
656,"Unable to find the newly added parameter in the setdevicelimit program.",C2C3,Program,Program editing,Setting  the new parameter value.
657,"When list error's out in resetting the counters, it run's enhanced clean again.",Nexus,Module Program Executor,List Execution,If list error's out while resetting the counters after enhanced clean execution when list is retried it has to reset the counters but shouldnt run enhanced clean again.
658,Incorrect device data is shown on CPM window,C2C3,Module mainL,CPM,Device Monitorning
659,Unable to get the expected response from the sim methods when the user input is given.,C2C3,Module mainL,Device,Right Click methods
660,Unable to set the value through program editor. ,C2C3,Program,Program editing,Setting the new value to the program parameter.
661,Unable to Poll the response on loop from Lamp X firmware.,C2C3,Devices,Process module,Polling the Serial Response from the Lamp X firmware
662,Unable to monitor the Lamp's status from Lamp X firmware,C2C3,Devices,Process module,Monitoring the Lamp X Power supply Lamps.
663,Unable to decode the error from the Lamp X firmware and  take respective action towards it.,C2C3,Devices,Process module,Handling the error codes from the Lamp X firmware
664,Software cannot communicate with the LampX device.,C2C3,Module mainL,Device,Software communication with LampX firmware 
665,"One or more of these values does not get preserved over a power-cycle or upgrade: 1) ROR Duration,2) Hi and Low Warn limits3) Hi and Low Fault limits 4) Collection pressure 5)Last leak rate 6) Last Leak rate date",C2C3,Program Executor,Auto Clogging,Persistancy over power-cycle and upgrade
666,Leak Check for PED valves shall not happen and BS Clogging shall go undetected,C2C3,Program Executor,Auto Clogging,Auto Clogging does not run
667,ER does not complete the Auto-clogging Leak check.,C2C3,Program Executor,Auto Clogging,Auto Clogging ER
668,Incorrect Data updated on an errored/aborted Auto Clog Leak Check,C2C3,Program Executor,Auto Clogging,Correct Last Leak/Leak Date update
669,Module ROR does not run/or does not run as before,C2C3,Program Executor,Auto Clogging,Backward compatibility when run with Auto Clog button unchecked.
670,Predective Ready to unload will not be sent accurately.,C2C3,Scheduler,Operation Management,Lot Forecasting
671,Predective Ready to unload will not be sent.,C2C3,Scheduler,Operation Management,Lot Forecasting
672,Predective Ready to unload will be sent late.,C2C3,Scheduler,Operation Management,Lot Forecasting
673,The predecitve ready to unload may be not accurate,C2C3,Scheduler,Operation Management,Lot Forecasting
674,Predictive ready to unload will be sent at max possible time.,C2C3,Scheduler,Operation Management,Lot Forecasting
675,Module errored out after the predictive unload is sent,C2C3,Scheduler,Operation Management,Lot Forecasting
676,Predictve ready to  unload is sent wrongly,C2C3,Scheduler,Operation Management,Lot Forecasting
677,Predictve ready to  unload will be sent every time the cassette finishes,C2C3,Scheduler,Operation Management,Lot Forecasting
678,Not allowing user to enter values,C2C3,Scheduler,Operation Management,Lot Forecasting
679,Predictive ready to unload is sent wrongly,C2C3,Scheduler,Operation Management,Lot Forecasting
680,CEID may be sent at wrong time,C2C3,Scheduler,Operation Management,Lot Forecasting
681,Unable to create/save recipe with revisit recipe.,C2C3,Scheduler,Recipe Management,Recipe Structure
682,Event may not be sent,C2C3,Scheduler,Operation Management,Lot Forecasting
683,When CEID is sent,C2C3,Scheduler,Operation Management,Lot Forecasting
684,Scheduler ends up in deadlock when routing wafers with new recipe.,C2C3,Scheduler,Recipe Execution,Wafer Sequence
685,Event is sent even if the cassette is not going to be unloaded,C2C3,Scheduler,Operation Management,Lot Forecasting
686,Module will process more wafers beyond accumulation limit set.,C2C3,Scheduler,Service request,Clean
687,Purge operation doesn't gets created.,C2C3,Scheduler,Purge,Purge Aborts 
688,Wafers doesn't move,C2C3,Scheduler,Purge,Purge 
689,Wafers gets blocked.,C2C3,Scheduler,Purge,Purge
690,Wafers Turns abnormal.,C2C3,Scheduler,Purge,Purge
691,Some wafers gets blocked.,C2C3,Scheduler,Purge,Purge
692,Port open failure,C2C3,Module mainL,Device,Initialize comm port 2(port open)
693,Unable to register DI Solver CO2 device under serial monitor utility,C2C3,Module mainL,Device,Serial monitor register
694,Unable to send commands to DI Solver CO2 device.,C2C3,Module mainL,Device,Send commands to DI Solver CO2 device
695,Partial response received.,C2C3,Module mainL,Device,Handle DI Solver CO2 device response.
696,Sensor fake state change.,C2C3,Module mainL,Device,Sensor state change.
697,Software sent invalid data to host.,C2C3,Module mainL,Device,Host support
698,Unable to handle the DI Solver CO2 device response.,C2C3,Module mainL,Device,Send commands to DI Solver CO2 device
699,Missing data in PCM report,C2C3,Utilities,PCM,DI Solver CO2 set point value will be part of PCM report
700,Data will not retain over tool software upgrade.,C2C3,Migrate,Migrate,DI Solver CO2 set point value will be retained over Software upgrade.
701,"Pump Moving bit goes ON before SPMixAtSyringeRatio Command is sent",C2C3,Devices,Pump,"Syringe Pump dispense command"
702,"Pump Moving bit doesn’t go OFF, Even after the dispense is complete",C2C3,Devices,Pump,"Syringe Pump dispense command"
703," Dispense command is repeatedly sent, SPMixAtSyringeRatio().",C2C3,Devices,Pump,"Syringe Pump dispense command"
704,Meter Objects associated with the valve that is stored in acid (syringe pump object) can be overwritten with a empty space.,C2C3,Module mainL,Device,"When EBR valve is open, the valve close command for other valves (FSC/BSE) is executed."
705,"meter objects stored in acid pump and acdS (pump moving bit) can be reset.",C2C3,Program Executor,Program Execution,Program goes into ERROR after Valve opens
706,Meter would never be disabled even after dispense is complete.,C2C3,Program,Program Execution,"Program goes into ERROR after  syringe pump command is sent"
707,Meter would  never be monitored,C2C3,Module mainL,Device,"Meter does not sense flow , after the dispense command is sent "
708,"Pump moving bit goes OFF before the dispense is done",C2C3,Devices,Pump,"Syringe Pump dispense command"
709,Program goes into ERROR after  syringe pump command is sent,C2C3,Program,Program Execution,"Program Execution"
710,Program goes into ERROR after Valve opens,C2C3,Program,Program Execution,Program Execution
711,"Meter does not sense flow , after the dispense command is sent ",C2C3,Devices,Meter,Flow Meter Monitoring
712,Slave bath module KB goes down,C2C3,Module mainL,Bath Module,Reverse forwarding from bath module to slave bath KB 
713,Slave bath module cannot communicate with bath module on Node 3,C2C3,Module mainL,Bath Module,Reverse forwarding from bath module to slave bath KB 
714,Slave bath module does not come up when linked PMA-PMB configuration is chosen,C2C3,Module mainL,Bath Module,Slave bath module boot up for linked PMA-PMB configuration 
715,bath module goes down,C2C3,Module mainL,Bath Module,Buffered bottle functionality
716,bath module cannot communicate with slave bath KB task on Node 4,C2C3,Module mainL,Bath Module,Command to open/close buffered bottle valves
717,watchdog does not inform bath module that slave bath module is up,C2C3,Watchdog,Task monitoring,Reverse forwarding from bath module to slave bath KB 
718,Individual task reboot results in forwarding not getting established.,C2C3,Module mainL,Bath Module,Inter task communication between master bath & slave bath
719,Sensor/IOC failure,C2C3,Module mainL,Bath Module,Hardware communication
720,SendMsg timeout between master bath module & slave bath KB,C2C3,Module mainL,Bath Module,Inter task communication between master bath & slave bath
721,Reverse forwarding updates from slave bath to master bath module,C2C3,Module mainL,Bath Module,Non linked bath configuration with buffered bottle/  backward compatibility
722,Reverse forwarding updates from slave bath to master bath module,C2C3,Module mainL,Bath Module,Linked PMA-PMB bath without buffered bottle
723,There is no drop down button to select the KB whoses IOC is needed.,C2C3,Module mainL,Bath Module,Display both master and slave bath module KB on the master bath IOC interface screen
724,Slave bath module KB is not displayed.,C2C3,Module mainL,Bath Module,Display both master and slave bath module KB on the master bath IOC interface screen
725,IOC's of slave bath is not displayed in the dropdown menu when user clicks on the IOC interface screen of the bath module. ,C2C3,Module mainL,Bath Module,Display ioc's connected to buffered bottle.
726,User commands to DO objects fail. They are not routed to actual hardware  ,C2C3,Module mainL,Bath Module,Operate DO's from IOC interface screen
727,User not able access Multi MFC calibration screen,C2C3,UI,Flow Calibration,Multi MFC calibration screen
728,Multi MFC calibration screen hangs and doesnot open ,C2C3,Program Executor,Flow Calibration,Display of Multi MFC calibration screen
729,"1. MultiMFC calibration goes errors while executing the list .2.User not able to find Which MFC is currently getting calibrated",C2C3,UI,Flow Calibration,Module error while Multi MFC list is getting executed
730,Extra MFCs names are shown in Multi MFC calibration screen,C2C3,UI,Flow Calibration,Display of Multi MFC calibration screen
731,MFC names and mfc  DATA attributes are not matching ,C2C3,UI,Flow Calibration,Display of Multi MFC calibration screen
732,"1. User not able to change the value of ""Target pressure"" .2.User able to modify the Target Pressure beyond the Min and Max limits",C2C3,UI,Flow Calibration,"Editing of ""Target Pressure"" in Multiple MFC screen"
